geoid,year,qoz_2018,population,population_source_code,poverty_universe,poverty_universe_source_code,poverty_count,poverty_count_source_code,median_household_income,median_household_income_source_code,median_gross_rent,median_gross_rent_source_code,civilian_labor_force,civilian_labor_force_source_code,unemployed,unemployed_source_code,workplace_jobs
25001013200,2019,0,4547,,4547,,240,,76657,,1805,,2206,,75,,923
25001013300,2018,0,3058,,2905,,178,,72371,,1080,,1701,,75,,2350
25001013300,2019,0,3165,,3015,,213,,85625,,1157,,1817,,78,,2347
25001013400,2018,0,3706,,3680,,135,,92500,,1357,,1656,,78,,583
25001013400,2019,0,3763,,3737,,79,,108066,,1289,,1652,,58,,694
25001013500,2018,0,7070,,7053,,280,,108036,,1488,,3944,,156,,435
25001013500,2019,0,7242,,7226,,214,,107422,,2164,,4016,,113,,414
25001013600,2018,0,6491,,6430,,197,,98224,,1220,,3940,,128,,2333
25001013600,2019,0,6099,,6008,,222,,92647,,1253,,3710,,142,,2432
25001013700,2018,0,4669,,4347,,250,,73775,,1280,,2668,,112,,1662
25001013700,2019,0,4628,,4292,,267,,75118,,1182,,2486,,52,,1599
25001013800,2018,0,4977,,4839,,273,,81199,,1285,,2877,,120,,1810
25001013800,2019,0,5148,,5023,,289,,86392,,1262,,3069,,86,,1724
25001013900,2018,0,4970,,4970,,166,,69386,,1339,,2572,,64,,1835
25001013900,2019,0,4732,,4732,,255,,69548,,1418,,2332,,44,,1828
25001014002,2018,0,4331,,4317,,258,,71250,,1295,,2371,,54,,1695
25001014002,2019,0,4391,,4391,,319,,74625,,1283,,2356,,54,,1806
25001014100,2018,1,909,,840,,59,,50682,,1486,,196,,5,,588
25001014100,2019,1,949,,880,,57,,53031,,1708,,207,,13,,573
25001014300,2018,0,4047,,3962,,97,,103967,,1557,,2077,,110,,1095
25001014300,2019,0,3949,,3867,,102,,105250,,1517,,2007,,90,,1058
25001014402,2018,0,6913,,6806,,423,,93468,,1484,,3864,,101,,1186
25001014402,2019,0,7075,,6988,,224,,94989,,1322,,4057,,73,,1349
25001014500,2018,1,5613,,5550,,458,,64841,,1671,,2767,,240,,248
