"borough","neighborhood","building_class_category","block","lot","commercial_units","total_units","gross_square_feet","year_built","sale_price","sale_date","latitude","longitude","community_board"
"1","UPPER WEST SIDE (59-79)","14 RENTALS - 4-10 UNIT","1122","50","1","4","6,380","1920","0","2021-01-01T00:00:00.000","40.775398","-73.978084","107"
"1","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","1468","13","3","21","9,440","1910","0","2021-01-01T00:00:00.000","40.768214","-73.954837","108"
"1","SOHO","44 CONDO PARKING","228","1320","1","1",,"2013","0","2021-01-01T00:00:00.000",,,
"1","LOWER EAST SIDE","14 RENTALS - 4-10 UNIT","353","22","1","5","11,141","1920","0","2021-01-01T00:00:00.000","40.71969","-73.987096","103"
"1","LOWER EAST SIDE","07 RENTALS - WALKUP APARTMENTS","410","46","3","28","20,580","1910","0","2021-01-01T00:00:00.000","40.719783","-73.988496","103"
"1","FASHION","21 OFFICE BUILDINGS","805","39","15","15","79,465","1913","0","2021-01-01T00:00:00.000","40.746965","-73.990772","105"
"1","FASHION","21 OFFICE BUILDINGS","805","39","15","15","79,465","1913","0","2021-01-01T00:00:00.000","40.746965","-73.990772","105"
"1","FASHION","21 OFFICE BUILDINGS","805","39","15","15","79,465","1913","0","2021-01-01T00:00:00.000","40.746965","-73.990772","105"
"3","BEDFORD STUYVESANT","22 STORE BUILDINGS","1859","34","2","2","3,410","1910","0","2021-01-01T00:00:00.000","40.679751","-73.937624","303"
"3","BOROUGH PARK","01 ONE FAMILY DWELLINGS","5690","33","1","2","4,125","1925","0","2021-01-01T00:00:00.000","40.631602","-73.997035","312"
"3","BAY RIDGE","02 TWO FAMILY DWELLINGS","5999","5","1","3","3,600","1931","0","2021-01-01T00:00:00.000","40.624853","-74.024518","310"
"3","BAY RIDGE","22 STORE BUILDINGS","6036","49","1","3","2,700","1926","0","2021-01-01T00:00:00.000","40.620867","-74.025165","310"
"3","BAY RIDGE","02 TWO FAMILY DWELLINGS","6045","3","1","3","3,480","1925","0","2021-01-01T00:00:00.000","40.622283","-74.028551","310"
"4","SPRINGFIELD GARDENS","26 OTHER HOTELS","12301","15","1","1","8,648","1966","0","2021-01-01T00:00:00.000","40.668119","-73.781153","412"
"4","LONG ISLAND CITY","29 COMMERCIAL GARAGES","428","17","2","2","3,000","1954","0","2021-01-01T00:00:00.000","40.750577","-73.942708","402"
"5","CONCORD","01 ONE FAMILY DWELLINGS","2882","41","1","2","1,428","1953","0","2021-01-01T00:00:00.000","40.612215","-74.08795","501"
"1","MIDTOWN WEST","46 CONDO STORE BUILDINGS","1027","1501","1","1",,,"0","2021-01-04T00:00:00.000","40.764903","-73.982178","105"
"1","MIDTOWN WEST","43 CONDO OFFICE BUILDINGS","1027","1502","1","1",,,"0","2021-01-04T00:00:00.000","40.764903","-73.982178","105"
"1","UPPER EAST SIDE (59-79)","47 CONDO NON-BUSINESS STORAGE","1411","1009","1","1",,"1999","0","2021-01-04T00:00:00.000","40.772899","-73.960033","108"
"2","MOTT HAVEN/PORT MORRIS","41 TAX CLASS 4 - OTHER","2594","30","1","1","17,745","1990","4000000","2021-01-04T00:00:00.000","40.800809","-73.909807","201"
"3","OCEAN HILL","01 ONE FAMILY DWELLINGS","1462","12","1","2","1,800","1923","0","2021-01-04T00:00:00.000","40.672756","-73.921703","316"
"3","CYPRESS HILLS","01 ONE FAMILY DWELLINGS","3671","36","1","2","2,000","1920","0","2021-01-04T00:00:00.000","40.675907","-73.89505","305"
"3","MIDWOOD","22 STORE BUILDINGS","6749","97","4","4","2,200","1931","1060000","2021-01-04T00:00:00.000","40.614774","-73.963268","314"
"3","OCEAN PARKWAY-SOUTH","29 COMMERCIAL GARAGES","7173","66","1","1","0","1930","0","2021-01-04T00:00:00.000","40.591097","-73.974061","315"
"3","OLD MILL BASIN","21 OFFICE BUILDINGS","7896","48","2","2","2,320","1931","0","2021-01-04T00:00:00.000","40.619024","-73.925588","318"
"4","ELMHURST","46 CONDO STORE BUILDINGS","1842","1067","1","1",,"1986","540000","2021-01-04T00:00:00.000","40.737456","-73.876222","404"
"4","ELMHURST","46 CONDO STORE BUILDINGS","1842","1068","1","1",,"1986","540000","2021-01-04T00:00:00.000","40.737456","-73.876222","404"
"4","RIDGEWOOD","14 RENTALS - 4-10 UNIT","3574","10","1","6","4,800","1931","0","2021-01-04T00:00:00.000","40.699768","-73.90206","405"
"4","FLUSHING-NORTH","43 CONDO OFFICE BUILDINGS","4946","1032","1","1",,"1986","100000","2021-01-04T00:00:00.000","40.764243","-73.833365","407"
"4","FLUSHING-NORTH","01 ONE FAMILY DWELLINGS","5393","116","1","2","1,686","1930","0","2021-01-04T00:00:00.000","40.759979","-73.804029","407"
"4","ASTORIA","01 ONE FAMILY DWELLINGS","650","66","1","2","2,720","1930","0","2021-01-04T00:00:00.000","40.763813","-73.918384","401"
"1","LOWER EAST SIDE","46 CONDO STORE BUILDINGS","422","1002","1","1",,,"2250000","2021-01-05T00:00:00.000","40.722621","-73.989689","103"
"2","WESTCHESTER","22 STORE BUILDINGS","3984","25","2","2","2,940","1950","1250000","2021-01-05T00:00:00.000","40.841621","-73.843486","210"
"2","RIVERDALE","22 STORE BUILDINGS","5888","1554","3","3","4,021","1930","0","2021-01-05T00:00:00.000","40.910742","-73.89663","208"
"3","CROWN HEIGHTS","08 RENTALS - ELEVATOR APARTMENTS","1422","5","4","50","57,629","1929","0","2021-01-05T00:00:00.000","40.664757","-73.939289","309"
"3","BEDFORD STUYVESANT","01 ONE FAMILY DWELLINGS","1699","21","1","2","2,800","1927","1470000","2021-01-05T00:00:00.000","40.679698","-73.93696","303"
"3","WILLIAMSBURG-NORTH","44 CONDO PARKING","2297","1207","1","1",,"2007","1335000","2021-01-05T00:00:00.000","40.72008","-73.956868","301"
"4","SOUTH OZONE PARK","14 RENTALS - 4-10 UNIT","11710","34","2","4","2,960","1930","0","2021-01-05T00:00:00.000","40.676389","-73.820837","410"
"4","SOUTH OZONE PARK","22 STORE BUILDINGS","11710","36","1","2","2,920","1930","0","2021-01-05T00:00:00.000","40.676367","-73.820711","410"
"4","SO. JAMAICA-BAISLEY PARK","41 TAX CLASS 4 - OTHER","12392","58","1","1","0",,"300000","2021-01-05T00:00:00.000","40.683315","-73.770034","412"
"4","OAKLAND GARDENS","44 CONDO PARKING","7621","1032","1","1",,,"0","2021-01-05T00:00:00.000","40.745127","-73.756767","411"
"1","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","1238","1","1","11","5,928","1920","0","2021-01-06T00:00:00.000","40.791611","-73.975854","107"
"1","CIVIC CENTER","46 CONDO STORE BUILDINGS","135","1903","1","1",,"2017","12000000","2021-01-06T00:00:00.000","40.714774","-74.007633","101"
"1","HARLEM-CENTRAL","07 RENTALS - WALKUP APARTMENTS","2045","75","1","10","9,985","1910","0","2021-01-06T00:00:00.000","40.825226","-73.940179","110"
"1","HARLEM-CENTRAL","07 RENTALS - WALKUP APARTMENTS","2045","76","1","10","9,132","1910","0","2021-01-06T00:00:00.000","40.82529","-73.940132","110"
"1","SOHO","46 CONDO STORE BUILDINGS","595","1201","1","1",,"1920","3200000","2021-01-06T00:00:00.000","40.724367","-74.010178","101"
"1","FASHION","22 STORE BUILDINGS","832","76","1","1","3,290","1910","4500000","2021-01-06T00:00:00.000","40.747612","-73.988512","105"
"3","CROWN HEIGHTS","44 CONDO PARKING","1178","1102","1","1",,"2011","938000","2021-01-06T00:00:00.000","40.672608","-73.960886","308"
"3","BOERUM HILL","14 RENTALS - 4-10 UNIT","278","22","1","4","6,000","1910","9000000","2021-01-06T00:00:00.000","40.689544","-73.991952","302"
"3","BOERUM HILL","02 TWO FAMILY DWELLINGS","278","23","1","3","3,280","1910","9000000","2021-01-06T00:00:00.000","40.689525","-73.991898","302"
"3","BOERUM HILL","02 TWO FAMILY DWELLINGS","278","24","1","3","3,832","1930","9000000","2021-01-06T00:00:00.000","40.689506","-73.991843","302"
"3","BOROUGH PARK","02 TWO FAMILY DWELLINGS","5698","22","1","3","3,600","1900","0","2021-01-06T00:00:00.000","40.629835","-73.995958","312"
"3","OLD MILL BASIN","01 ONE FAMILY DWELLINGS","7904","55","1","2","1,260","1931","650000","2021-01-06T00:00:00.000","40.618875","-73.917199","318"
"3","SUNSET PARK","44 CONDO PARKING","922","1238","1","1",,"2015","375180","2021-01-06T00:00:00.000","40.646073","-73.998569","307"
"4","ROSEDALE","21 OFFICE BUILDINGS","13567","50","1","1","1,900","1957","525000","2021-01-06T00:00:00.000","40.658428","-73.740619","413"
"4","LONG ISLAND CITY","47 CONDO NON-BUSINESS STORAGE","81","1078","1","1",,"2018","916425","2021-01-06T00:00:00.000","40.746394","-73.942863","402"
"5","MARINERS HARBOR","02 TWO FAMILY DWELLINGS","1155","170","1","3","1,482","1931","615000","2021-01-06T00:00:00.000","40.632559","-74.147348","501"
"1","UPPER WEST SIDE (59-79)","47 CONDO NON-BUSINESS STORAGE","1171","2273","1","1",,"2004","810000","2021-01-07T00:00:00.000","40.780478","-73.987337","107"
"1","HARLEM-EAST","11 SPECIAL CONDO BILLING LOTS","1646","1102","1","262","241,417","2005","0","2021-01-07T00:00:00.000","40.784784","-73.948348","111"
"1","HARLEM-EAST","22 STORE BUILDINGS","1788","48","1","1","4,795","1910","2350000","2021-01-07T00:00:00.000","40.802817","-73.93645","111"
"1","HARLEM-CENTRAL","44 CONDO PARKING","1820","1287","1","1",,"2006","0","2021-01-07T00:00:00.000","40.798609","-73.953307","110"
"3","GOWANUS","44 CONDO PARKING","1003","1447","1","1",,"2018","60000","2021-01-07T00:00:00.000","40.670693","-73.989394","306"
"3","GREENPOINT","47 CONDO NON-BUSINESS STORAGE","2504","1203","1","1",,"2007","1050000","2021-01-07T00:00:00.000","40.734915","-73.955044","301"
"3","GREENPOINT","30 WAREHOUSES","2661","34","1","1","21,560","1931","8500000","2021-01-07T00:00:00.000","40.726195","-73.938493","301"
"3","COBBLE HILL-WEST","44 CONDO PARKING","320","1210","1","1",,,"1358750","2021-01-07T00:00:00.000","40.686967","-74.000775","306"
"3","CYPRESS HILLS","14 RENTALS - 4-10 UNIT","3671","38","1","5","9,000","1900","2400000","2021-01-07T00:00:00.000","40.675875","-73.895343","305"
"3","CYPRESS HILLS","14 RENTALS - 4-10 UNIT","4127","60","2","6","4,992","1915","0","2021-01-07T00:00:00.000","40.682536","-73.87614","305"
"3","SUNSET PARK","02 TWO FAMILY DWELLINGS","643","42","1","3","2,670","1930","1575000","2021-01-07T00:00:00.000","40.660991","-73.993808","307"
"3","BUSH TERMINAL","44 CONDO PARKING","821","1023","1","1",,"2012","520000","2021-01-07T00:00:00.000","40.645089","-74.01729","307"
"3","CANARSIE","44 CONDO PARKING","8273","1128","1","1",,"1989","248000","2021-01-07T00:00:00.000","40.639188","-73.881387","318"
"3","SUNSET PARK","44 CONDO PARKING","886","1102","1","1",,"2004","957100","2021-01-07T00:00:00.000","40.65964","-73.988041","307"
"4","JAMAICA","02 TWO FAMILY DWELLINGS","10002","122","1","3","3,135","1920","0","2021-01-07T00:00:00.000","40.698999","-73.802744","412"
"4","JAMAICA","02 TWO FAMILY DWELLINGS","10002","21","1","3","3,135","1920","0","2021-01-07T00:00:00.000","40.699001","-73.802748","412"
"4","JAMAICA","02 TWO FAMILY DWELLINGS","10002","23","1","3","3,300","1920","0","2021-01-07T00:00:00.000","40.698999","-73.802744","412"
"4","SPRINGFIELD GARDENS","22 STORE BUILDINGS","12593","107","1","1","5,280","1937","800000","2021-01-07T00:00:00.000","40.669511","-73.765702","412"
"4","ROCKAWAY PARK","44 CONDO PARKING","16179","1002","1","1",,"2001","1687500","2021-01-07T00:00:00.000","40.580562","-73.829065","414"
"4","ROCKAWAY PARK","44 CONDO PARKING","16179","1003","1","1",,"2001","1687500","2021-01-07T00:00:00.000","40.580562","-73.829065","414"
"4","ROCKAWAY PARK","44 CONDO PARKING","16179","1010","1","1",,"2001","1687500","2021-01-07T00:00:00.000","40.580095","-73.829145","414"
"4","ROCKAWAY PARK","44 CONDO PARKING","16179","1015","1","1",,"2001","1687500","2021-01-07T00:00:00.000","40.580093","-73.829156","414"
"4","REGO PARK","44 CONDO PARKING","2118","1001","1","1",,,"204000","2021-01-07T00:00:00.000","40.727758","-73.854069","406"
"4","BELLEROSE","02 TWO FAMILY DWELLINGS","8660","7","1","3","2,600","1925","658500","2021-01-07T00:00:00.000","40.725123","-73.721704","413"
"1","CLINTON","44 CONDO PARKING","1064","1136","1","1",,,"4730000","2021-01-08T00:00:00.000","40.766348","-73.98795","104"
"1","UPPER EAST SIDE (59-79)","22 STORE BUILDINGS","1378","114","2","2","5,480","1900","43000000","2021-01-08T00:00:00.000","40.766226","-73.969499","108"
"1","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","1469","30","2","26","12,276","1910","0","2021-01-08T00:00:00.000","40.769334","-73.953598","108"
"1","WASHINGTON HEIGHTS UPPER","22 STORE BUILDINGS","2152","70","2","2","20,800","1900","6000000","2021-01-08T00:00:00.000","40.848379","-73.931513","112"
"1","GRAMERCY","22 STORE BUILDINGS","874","16","1","3","7,429","1920","19500000","2021-01-08T00:00:00.000","40.736556","-73.986909","105"
"1","MURRAY HILL","29 COMMERCIAL GARAGES","888","51","2","2","27,800","1925","9000000","2021-01-08T00:00:00.000","40.745561","-73.979819","106"
"3","BEDFORD STUYVESANT","14 RENTALS - 4-10 UNIT","1599","8","1","5","3,900","1931","0","2021-01-08T00:00:00.000","40.693937","-73.934232","303"
"3","BEDFORD STUYVESANT","22 STORE BUILDINGS","1784","7","1","3","2,993","1899","0","2021-01-08T00:00:00.000","40.690487","-73.951579","303"
"3","GREENPOINT","27 FACTORIES","2658","48","2","2","8,000","1931","0","2021-01-08T00:00:00.000","40.726565","-73.941787","301"
"3","WILLIAMSBURG-EAST","14 RENTALS - 4-10 UNIT","2739","9","1","5","4,125","1928","2075000","2021-01-08T00:00:00.000","40.717801","-73.946625","301"
"3","BUSHWICK","44 CONDO PARKING","3418","1018","1","1",,"2018","742500","2021-01-08T00:00:00.000","40.69211","-73.907765","304"
"3","BAY RIDGE","22 STORE BUILDINGS","5912","43","2","5","5,025","1931","1275000","2021-01-08T00:00:00.000","40.627182","-74.014399","310"
"3","RED HOOK","27 FACTORIES","621","50","1","1","16,845","1936","0","2021-01-08T00:00:00.000","40.669505","-74.004347","306"
"3","BENSONHURST","29 COMMERCIAL GARAGES","6314","26","1","1","0","1931","0","2021-01-08T00:00:00.000","40.61083","-74.000929","311"
"3","GRAVESEND","44 CONDO PARKING","6902","1112","1","1",,"2016","560038","2021-01-08T00:00:00.000","40.589971","-73.985911","313"
"3","CANARSIE","44 CONDO PARKING","8273","1041","1","1",,"1989","365000","2021-01-08T00:00:00.000","40.639881","-73.882489","318"
"3","SUNSET PARK","14 RENTALS - 4-10 UNIT","841","47","2","4","3,680","1910","0","2021-01-08T00:00:00.000","40.638909","-74.009602","307"
"4","COLLEGE POINT","44 CONDO PARKING","3916","1428","1","1",,"2009","748000","2021-01-08T00:00:00.000","40.793217","-73.844947","407"
"4","ASTORIA","44 CONDO PARKING","534","1176","1","1",,"2019","840056","2021-01-08T00:00:00.000",,,
"2","BELMONT","22 STORE BUILDINGS","3077","26","10","10","11,310","1930","0","2021-01-10T00:00:00.000","40.855398","-73.887241","206"
"3","PROSPECT HEIGHTS","02 TWO FAMILY DWELLINGS","1138","6","1","3","3,363","1930","0","2021-01-10T00:00:00.000","40.679802","-73.968082","308"
"3","WILLIAMSBURG-NORTH","49 CONDO WAREHOUSES/FACTORY/INDUS","2332","1502","1","1",,"2007","15000","2021-01-10T00:00:00.000","40.720077","-73.962813","301"
"1","FASHION","21 OFFICE BUILDINGS","815","39","120","120","129,808","1914","0","2021-01-11T00:00:00.000","40.753818","-73.985696","105"
"2","MORRISANIA/LONGWOOD","14 RENTALS - 4-10 UNIT","2698","80","1","4","9,570","2005","0","2021-01-11T00:00:00.000","40.821229","-73.898926","202"
"2","FORDHAM","22 STORE BUILDINGS","3165","38","1","1","9,000","1925","6750000","2021-01-11T00:00:00.000","40.86096","-73.897958","205"
"3","WILLIAMSBURG-NORTH","44 CONDO PARKING","2299","1191","1","1",,,"0","2021-01-11T00:00:00.000","40.718767","-73.953312","301"
"3","BUSHWICK","14 RENTALS - 4-10 UNIT","3335","6","1","5","3,300","1931","1490000","2021-01-11T00:00:00.000","40.697103","-73.915331","304"
"3","DYKER HEIGHTS","02 TWO FAMILY DWELLINGS","5754","44","1","3","2,720","1920","0","2021-01-11T00:00:00.000","40.62451","-73.999485","310"
"4","COLLEGE POINT","44 CONDO PARKING","4197","1028","1","1",,"2015","507000","2021-01-11T00:00:00.000","40.779588","-73.846066","407"
"4","LONG ISLAND CITY","21 OFFICE BUILDINGS","436","21","1","1","97,650","1931","0","2021-01-11T00:00:00.000","40.749586","-73.943546","402"
"4","BRIARWOOD","46 CONDO STORE BUILDINGS","9651","1002","1","1",,"1959","251000","2021-01-11T00:00:00.000","40.709687","-73.819265","408"
"4","JAMAICA","44 CONDO PARKING","9832","1013","1","1",,"2007","0","2021-01-11T00:00:00.000","40.710457","-73.786652","412"
"4","JAMAICA","44 CONDO PARKING","9832","1014","1","1",,"2007","0","2021-01-11T00:00:00.000","40.710457","-73.786652","412"
"1","UPPER WEST SIDE (59-79)","47 CONDO NON-BUSINESS STORAGE","1164","1012","1","1",,,"2250000","2021-01-12T00:00:00.000","40.778954","-73.982412","107"
"1","SOHO","08 RENTALS - ELEVATOR APARTMENTS","580","11","2","124","224,400","2014","1388820","2021-01-12T00:00:00.000","40.727246","-74.006559","102"
"3","BEDFORD STUYVESANT","14 RENTALS - 4-10 UNIT","1758","46","2","5","4,322","1931","1310000","2021-01-12T00:00:00.000","40.694529","-73.949049","303"
"3","FLATBUSH-EAST","30 WAREHOUSES","4697","31","3","3","2,759","1931","0","2021-01-12T00:00:00.000","40.650465","-73.930256","317"
"3","BOROUGH PARK","14 RENTALS - 4-10 UNIT","5634","35","1","4","3,600","1977","1775000","2021-01-12T00:00:00.000","40.636043","-73.992318","312"
"3","MADISON","44 CONDO PARKING","6784","1012","1","1",,"2004","0","2021-01-12T00:00:00.000","40.61052","-73.951529","315"
"3","OLD MILL BASIN","02 TWO FAMILY DWELLINGS","7857","1","1","3","2,379","1965","825000","2021-01-12T00:00:00.000","40.622301","-73.917566","318"
"3","BERGEN BEACH","44 CONDO PARKING","8374","1226","1","1",,"1997","0","2021-01-12T00:00:00.000","40.625072","-73.908351","318"
"3","SUNSET PARK","14 RENTALS - 4-10 UNIT","842","10","3","7","4,334","1931","3450000","2021-01-12T00:00:00.000","40.638996","-74.009487","307"
"4","ROSEDALE","22 STORE BUILDINGS","13569","31","2","2","2,600","1957","405000","2021-01-12T00:00:00.000",,,
"4","SUNNYSIDE","30 WAREHOUSES","187","9","1","1","7,000","1971","3825000","2021-01-12T00:00:00.000","40.747149","-73.925514","402"
"4","RIDGEWOOD","22 STORE BUILDINGS","3610","9","1","1","20,000","1930","2700000","2021-01-12T00:00:00.000","40.710229","-73.899278","405"
"4","COLLEGE POINT","35 INDOOR PUBLIC AND CULTURAL FACILITIES","4197","36","1","1","3,200","1955","1380000","2021-01-12T00:00:00.000","40.7795","-73.846073","407"
"4","FLUSHING-NORTH","22 STORE BUILDINGS","4977","57","4","4","3,940","1983","10","2021-01-12T00:00:00.000","40.763371","-73.828","407"
"4","ASTORIA","07 RENTALS - WALKUP APARTMENTS","676","20","2","18","11,996","1927","7250000","2021-01-12T00:00:00.000","40.757502","-73.920182","401"
"4","ASTORIA","07 RENTALS - WALKUP APARTMENTS","676","22","2","18","11,996","1923","7250000","2021-01-12T00:00:00.000","40.757532","-73.920156","401"
"4","OZONE PARK","22 STORE BUILDINGS","9103","4","3","6","7,250","1931","0","2021-01-12T00:00:00.000","40.684612","-73.84476","409"
"1","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","1522","37","1","17","8,216","1905","6650000","2021-01-13T00:00:00.000","40.783613","-73.950497","108"
"1","FASHION","21 OFFICE BUILDINGS","787","1","83","83","225,858","1925","0","2021-01-13T00:00:00.000","40.753629","-73.990959","105"
"3","CROWN HEIGHTS","22 STORE BUILDINGS","1154","1","5","8","8,823","1930","0","2021-01-13T00:00:00.000","40.677138","-73.963627","308"
"3","FLATBUSH-NORTH","14 RENTALS - 4-10 UNIT","4626","32","1","6","1,878","1929","975000","2021-01-13T00:00:00.000","40.658081","-73.924813","317"
"3","FLATBUSH-EAST","01 ONE FAMILY DWELLINGS","4697","15","1","2","2,020","1931","999500","2021-01-13T00:00:00.000","40.651223","-73.930338","317"
"3","SUNSET PARK","22 STORE BUILDINGS","885","5","2","10","23,400","1930","7850000","2021-01-13T00:00:00.000","40.662382","-73.992333","307"
"4","MASPETH","30 WAREHOUSES","2599","85","1","1","1,668","1963","0","2021-01-13T00:00:00.000","40.719786","-73.912449","405"
"4","LONG ISLAND CITY","07 RENTALS - WALKUP APARTMENTS","330","48","1","21","13,472","1931","0","2021-01-13T00:00:00.000","40.761834","-73.939536","401"
"5","GREAT KILLS","22 STORE BUILDINGS","5201","33","1","1","4,500","1985","0","2021-01-13T00:00:00.000","40.544646","-74.140533","503"
"1","ALPHABET CITY","32 HOSPITAL AND HEALTH FACILITIES","406","24","1","1","6,681","1965","2125000","2021-01-14T00:00:00.000","40.729202","-73.979636","103"
"1","SOHO","46 CONDO STORE BUILDINGS","474","1701","1","1",,"1910","400000","2021-01-14T00:00:00.000","40.722457","-74.001223","102"
"1","SOHO","46 CONDO STORE BUILDINGS","474","1702","1","1",,"1910","400000","2021-01-14T00:00:00.000","40.722457","-74.001223","102"
"1","FINANCIAL","43 CONDO OFFICE BUILDINGS","55","1012","1","1",,"1921","25013417","2021-01-14T00:00:00.000","40.708356","-74.014814","101"
"1","FINANCIAL","43 CONDO OFFICE BUILDINGS","55","1013","1","1",,"1921","25013417","2021-01-14T00:00:00.000","40.708356","-74.014814","101"
"1","FASHION","22 STORE BUILDINGS","804","59","20","20","115,991","1910","895000","2021-01-14T00:00:00.000","40.747121","-73.99119","105"
"3","PARK SLOPE SOUTH","47 CONDO NON-BUSINESS STORAGE","1052","1316","1","1",,"2018","880000","2021-01-14T00:00:00.000","40.66578","-73.992528","307"
"3","CROWN HEIGHTS","27 FACTORIES","1142","16","1","1","18,400","1930","0","2021-01-14T00:00:00.000","40.678064","-73.957858","308"
"3","PROSPECT HEIGHTS","44 CONDO PARKING","1153","1006","1","1",,"2006","90000","2021-01-14T00:00:00.000","40.677767","-73.964878","308"
"3","DOWNTOWN-FULTON MALL","22 STORE BUILDINGS","151","9","2","2","1,490","1920","5800000","2021-01-14T00:00:00.000","40.691344","-73.98704","302"
"3","WILLIAMSBURG-NORTH","49 CONDO WAREHOUSES/FACTORY/INDUS","2324","1338","1","1",,"2007","1452500","2021-01-14T00:00:00.000","40.720527","-73.962056","301"
"3","WILLIAMSBURG-EAST","22 STORE BUILDINGS","2924","19","1","1","10,400","1991","4900000","2021-01-14T00:00:00.000","40.713755","-73.935987","301"
"3","CYPRESS HILLS","29 COMMERCIAL GARAGES","4148","1","1","1","1,867","1930","1110000","2021-01-14T00:00:00.000","40.682355","-73.870804","305"
"3","GOWANUS","14 RENTALS - 4-10 UNIT","448","1","1","4","3,300","1899","2830000","2021-01-14T00:00:00.000","40.67717","-73.986235","306"
"3","PARK SLOPE","44 CONDO PARKING","945","1018","1","1",,"1990","685000","2021-01-14T00:00:00.000","40.677616","-73.97507","306"
"4","COLLEGE POINT","44 CONDO PARKING","4197","1021","1","1",,"2015","501930","2021-01-14T00:00:00.000","40.779588","-73.846066","407"
"4","ASTORIA","44 CONDO PARKING","534","1172","1","1",,"2019","53608","2021-01-14T00:00:00.000",,,
"4","BAYSIDE","02 TWO FAMILY DWELLINGS","5938","99","1","3","3,630","1970","0","2021-01-14T00:00:00.000","40.788589","-73.782036","407"
"5","BULLS HEAD","21 OFFICE BUILDINGS","1498","15","1","1","2,200","1931","500000","2021-01-14T00:00:00.000","40.616619","-74.156584","501"
"1","CLINTON","47 CONDO NON-BUSINESS STORAGE","1053","1286","1","1",,"2006","800000","2021-01-15T00:00:00.000","40.76045","-73.993416","104"
"1","UPPER WEST SIDE (59-79)","47 CONDO NON-BUSINESS STORAGE","1171","2351","1","1",,"2004","12000","2021-01-15T00:00:00.000","40.780478","-73.987337","107"
"1","HARLEM-WEST","08 RENTALS - ELEVATOR APARTMENTS","1982","5","4","47","29,436","1926","3720000","2021-01-15T00:00:00.000","40.814137","-73.956916","109"
"1","WASHINGTON HEIGHTS LOWER","43 CONDO OFFICE BUILDINGS","2111","1002","1","1",,"2012","575000","2021-01-15T00:00:00.000","40.838855","-73.936791","112"
"1","WASHINGTON HEIGHTS LOWER","43 CONDO OFFICE BUILDINGS","2111","1003","1","1",,"2012","400000","2021-01-15T00:00:00.000","40.838855","-73.936791","112"
"1","FINANCIAL","47 CONDO NON-BUSINESS STORAGE","77","1254","1","1",,"2017","2820084","2021-01-15T00:00:00.000","40.709235","-74.006741","101"
"1","FASHION","45 CONDO HOTELS","839","1205","1","1",,"2008","98598829","2021-01-15T00:00:00.000","40.750864","-73.98439","105"
"1","FASHION","45 CONDO HOTELS","839","1206","1","1",,"2008","98598829","2021-01-15T00:00:00.000","40.750864","-73.98439","105"
"1","FASHION","45 CONDO HOTELS","839","1207","1","1",,"2008","98598829","2021-01-15T00:00:00.000","40.750864","-73.98439","105"
"1","FASHION","45 CONDO HOTELS","839","1208","1","1",,"2008","98598829","2021-01-15T00:00:00.000","40.750864","-73.98439","105"
"1","FASHION","45 CONDO HOTELS","839","1209","1","1",,"2008","98598829","2021-01-15T00:00:00.000","40.750864","-73.98439","105"
"1","FASHION","45 CONDO HOTELS","839","1210","1","1",,"2008","98598829","2021-01-15T00:00:00.000","40.750864","-73.98439","105"
"1","FASHION","45 CONDO HOTELS","839","1211","1","1",,"2008","98598829","2021-01-15T00:00:00.000","40.750864","-73.98439","105"
"1","FASHION","45 CONDO HOTELS","839","1212","1","1",,"2008","98598829","2021-01-15T00:00:00.000","40.750864","-73.98439","105"
"1","FASHION","45 CONDO HOTELS","839","1213","1","1",,"2008","98598829","2021-01-15T00:00:00.000","40.750864","-73.98439","105"
"1","FASHION","45 CONDO HOTELS","839","1214","1","1",,"2008","98598829","2021-01-15T00:00:00.000","40.750864","-73.98439","105"
"1","FASHION","45 CONDO HOTELS","839","1215","1","1",,"2008","98598829","2021-01-15T00:00:00.000","40.750864","-73.98439","105"
"1","FASHION","45 CONDO HOTELS","839","1216","1","1",,"2008","98598829","2021-01-15T00:00:00.000","40.750864","-73.98439","105"
"2","WAKEFIELD","22 STORE BUILDINGS","5039","1","6","6","5,600","1930","2265000","2021-01-15T00:00:00.000","40.896887","-73.855463","212"
"3","CROWN HEIGHTS","44 CONDO PARKING","1149","1057","1","1",,"2009","1120000","2021-01-15T00:00:00.000","40.677235","-73.957851","308"
"3","OCEAN HILL","01 ONE FAMILY DWELLINGS","1444","36","1","2","1,440","1901","0","2021-01-15T00:00:00.000","40.674783","-73.905136","316"
"3","FORT GREENE","14 RENTALS - 4-10 UNIT","2102","69","2","8","7,000","1930","0","2021-01-15T00:00:00.000","40.68745","-73.97247","302"
"3","COBBLE HILL-WEST","44 CONDO PARKING","299","1008","1","1",,"2009","1680000","2021-01-15T00:00:00.000","40.689424","-73.999675","306"
"3","KENSINGTON","14 RENTALS - 4-10 UNIT","5331","61","1","5","3,300","1931","0","2021-01-15T00:00:00.000","40.647324","-73.971132","312"
"3","BAY RIDGE","44 CONDO PARKING","5853","1103","1","1",,"2006","780000","2021-01-15T00:00:00.000","40.637278","-74.027639","310"
