strategy,annualized_return,annualized_volatility,return_to_volatility,maximum_drawdown,daily_var95_loss,daily_expected_shortfall95_loss,annual_turnover,probability_best,pandemic_selloff_return,return_2022
walk-forward inverse-volatility,0.06853351122645579,0.07102446782083534,0.9649281906530693,-0.16611947377869773,0.006764850913664185,0.010360236901610271,0.015000000000000005,0.008,-0.11815430874828481,-0.1212624388252388
equal-weight benchmark,0.07919956051242893,0.08740415629324828,0.9061303703534161,-0.20243138362804058,0.008342725092882515,0.012769060756609149,,0.068,-0.1446996882219086,-0.15101916185138053
60/40 equity-Treasury benchmark,0.0927252396738596,0.11439450985341133,0.8105742119327282,-0.272352758436217,0.011017475509716497,0.017049410180982834,,0.924,-0.16022695554116295,-0.22830956908541578
