geoid,latitude,longitude,population,population_source_code,population_moe,population_moe_source_code,poverty_population,poverty_population_source_code,poverty_count,poverty_count_source_code,poverty_count_moe,poverty_count_moe_source_code,median_household_income,median_household_income_source_code,median_income_moe,median_income_moe_source_code,workers,workers_source_code,public_transit_workers,public_transit_workers_source_code,median_gross_rent,median_gross_rent_source_code,median_rent_moe,median_rent_moe_source_code
25001014100,41.707839,-70.5455199,854,,246.0,,742,,6,,8.0,,55000.0,,14742.0,,375,,0,,1830.0,,1637.0,
25001014300,41.6274594,-70.631528,3737,,702.0,,3669,,159,,99.0,,122098.0,,50807.0,,1583,,21,,2409.0,,2122.0,
25001014402,41.6075543,-70.6107028,7382,,789.0,,7368,,542,,265.0,,103333.0,,14217.0,,3694,,52,,1473.0,,249.0,
25001014500,41.5887538,-70.5327315,5954,,594.0,,5954,,292,,245.0,,93929.0,,16623.0,,2991,,25,,1696.0,,892.0,
25001014600,41.5777644,-70.557593,4361,,566.0,,4361,,342,,112.0,,89779.0,,30711.0,,2332,,8,,1864.0,,355.0,
25001014700,41.5622625,-70.573749,4098,,622.0,,4077,,339,,172.0,,85417.0,,14921.0,,1826,,20,,2009.0,,833.0,
25001014800,41.5551393,-70.6057531,3709,,442.0,,3608,,1003,,374.0,,57042.0,,17779.0,,1253,,58,,1101.0,,403.0,
25001014900,41.5458091,-70.6379995,3600,,398.0,,3459,,239,,105.0,,107308.0,,19074.0,,1502,,40,,1216.0,,264.0,
25001015001,41.6563467,-70.4748257,4668,,412.0,,4587,,206,,101.0,,100135.0,,24653.0,,2620,,32,,1383.0,,585.0,
25001015002,41.6361365,-70.5110013,3924,,454.0,,3924,,247,,164.0,,84395.0,,19745.0,,1507,,0,,1549.0,,259.0,
25001015100,41.6104971,-70.4866035,4080,,385.0,,4039,,258,,211.0,,88048.0,,10649.0,,1960,,15,,2120.0,,244.0,
25001015200,41.5710571,-70.4888458,2562,,348.0,,2557,,46,,52.0,,138333.0,,43948.0,,1262,,11,,3489.0,,1079.0,
25001015300,41.6700497,-70.2817969,4175,,594.0,,4175,,815,,352.0,,43868.0,,11404.0,,2315,,42,,1622.0,,97.0,
25001990000,41.7984013,-70.2145676,0,,14.0,,0,,0,,14.0,,,-666666666,,-222222222,0,,0,,,-666666666,,-222222222
25003900100,42.4517005,-73.2529007,3286,,547.0,,3286,,599,,244.0,,31835.0,,7820.0,,1297,,19,,916.0,,47.0,
25003900200,42.4557477,-73.2413519,4267,,723.0,,4262,,875,,512.0,,49219.0,,10521.0,,2204,,100,,1115.0,,56.0,
25003900300,42.4680494,-73.241982,2775,,420.0,,2666,,124,,86.0,,76786.0,,11731.0,,1504,,48,,1660.0,,270.0,
25003900400,42.4791481,-73.2549776,4757,,638.0,,4757,,472,,241.0,,74663.0,,26481.0,,2262,,52,,1110.0,,139.0,
25003900500,42.4607536,-73.303666,3171,,427.0,,2928,,193,,159.0,,109554.0,,27458.0,,1592,,11,,1304.0,,126.0,
25003900600,42.4565288,-73.262306,3544,,514.0,,3528,,1341,,543.0,,50745.0,,15334.0,,1350,,60,,1123.0,,107.0,
25003900700,42.4346711,-73.2936239,2917,,392.0,,2778,,171,,58.0,,89583.0,,8947.0,,1561,,20,,,-666666666,,-222222222
25003900800,42.4184299,-73.2554102,5111,,486.0,,5103,,196,,126.0,,98097.0,,6037.0,,2823,,10,,2647.0,,1897.0,
25003900900,42.4381558,-73.2591484,5318,,611.0,,5264,,1099,,642.0,,70625.0,,16677.0,,2550,,25,,1236.0,,176.0,
25003901100,42.4771527,-73.208318,3607,,331.0,,3466,,374,,135.0,,46947.0,,5634.0,,1617,,30,,1098.0,,234.0,
25003911100,42.5358751,-73.2410907,3033,,16.0,,3033,,174,,113.0,,84419.0,,17659.0,,1613,,10,,1368.0,,233.0,
25003912100,42.4798193,-73.153776,6304,,55.0,,6223,,329,,170.0,,81168.0,,10946.0,,2739,,66,,830.0,,44.0,
25003913100,42.3678582,-73.2697633,5076,,27.0,,4788,,434,,210.0,,97569.0,,47309.0,,2091,,43,,1060.0,,95.0,
25003914100,42.3031741,-73.2339236,5751,,17.0,,5590,,375,,232.0,,74222.0,,11598.0,,2860,,28,,1255.0,,574.0,
25003920101,42.7235381,-73.2135,4627,,282.0,,3369,,294,,143.0,,92969.0,,20907.0,,2286,,17,,1202.0,,329.0,
25003920102,42.6561192,-73.2203731,2836,,283.0,,1850,,287,,132.0,,114167.0,,46794.0,,1175,,0,,1580.0,,800.0,
25003921300,42.6985261,-73.0842998,4992,,576.0,,4221,,815,,287.0,,43373.0,,17304.0,,1959,,0,,786.0,,212.0,
25003921400,42.6755651,-73.118114,1397,,283.0,,1397,,122,,59.0,,50227.0,,8883.0,,591,,0,,882.0,,99.0,
25003921500,42.6905098,-73.1493635,2705,,326.0,,2697,,531,,237.0,,56910.0,,12887.0,,1222,,0,,650.0,,49.0,
25003922100,42.6201974,-73.1242948,2641,,314.0,,2625,,569,,233.0,,47438.0,,10621.0,,981,,8,,888.0,,93.0,
25003922200,42.6356761,-73.1108525,3700,,304.0,,3635,,444,,181.0,,54000.0,,12334.0,,1684,,7,,952.0,,93.0,
25003922300,42.6092397,-73.1362498,1765,,253.0,,1765,,166,,84.0,,69883.0,,7829.0,,822,,0,,1146.0,,206.0,
25003923100,42.5651072,-73.1491424,3234,,15.0,,3234,,307,,152.0,,72028.0,,10250.0,,1476,,80,,1309.0,,467.0,
25003924100,42.3019692,-73.3230236,1885,,303.0,,1851,,214,,103.0,,131667.0,,101240.0,,798,,21,,838.0,,607.0,
25003925101,42.2519149,-73.359916,1613,,294.0,,1580,,47,,44.0,,89637.0,,18058.0,,1062,,0,,1259.0,,732.0,
25003925102,42.2216958,-73.3331753,5571,,296.0,,4768,,212,,124.0,,79625.0,,10239.0,,2814,,33,,1241.0,,294.0,
25003926100,42.1036505,-73.3598875,3328,,16.0,,3328,,281,,143.0,,83889.0,,23190.0,,2096,,53,,1162.0,,93.0,
25003931100,42.7227205,-73.1058185,1723,,217.0,,1723,,43,,26.0,,78421.0,,10627.0,,917,,1,,1145.0,,127.0,
25003931300,42.6277273,-73.0153648,1507,,184.0,,1488,,146,,111.0,,75694.0,,13487.0,,697,,0,,798.0,,739.0,
25003931400,42.4773765,-73.0443842,1650,,182.0,,1650,,76,,25.0,,102896.0,,4758.0,,884,,0,,1375.0,,87.0,
25003932200,42.3249728,-73.1108227,2582,,273.0,,2577,,210,,170.0,,82891.0,,17739.0,,1248,,19,,1488.0,,207.0,
25003932300,42.4358274,-73.1128124,1825,,239.0,,1825,,166,,101.0,,76129.0,,20890.0,,902,,13,,996.0,,380.0,
25003933200,42.2125817,-73.2132361,1489,,205.0,,1489,,80,,64.0,,141786.0,,37150.0,,733,,13,,1196.0,,646.0,
25003933300,42.0983596,-73.2458658,1675,,254.0,,1631,,48,,29.0,,94038.0,,33407.0,,802,,39,,1933.0,,398.0,
25003933400,42.1510917,-73.1132071,2566,,230.0,,2507,,72,,33.0,,101250.0,,8068.0,,1336,,21,,1518.0,,758.0,
25003934200,42.3123539,-73.3880437,1201,,183.0,,1201,,140,,86.0,,99961.0,,10037.0,,645,,10,,1609.0,,274.0,
25003934300,42.1554346,-73.4492624,1812,,288.0,,1812,,102,,93.0,,110385.0,,23146.0,,924,,19,,1289.0,,191.0,
25003935100,42.5040963,-73.3159811,2434,,242.0,,2434,,315,,156.0,,94167.0,,14389.0,,1218,,0,,1150.0,,120.0,
25003935200,42.4487388,-73.2056309,4806,,693.0,,4798,,364,,195.0,,87500.0,,9641.0,,2379,,0,,1394.0,,526.0,
25003935300,42.7053172,-73.1184867,3566,,444.0,,3493,,674,,251.0,,47896.0,,16744.0,,1522,,0,,820.0,,98.0,
25005600100,42.0565564,-71.1034137,4339,,459.0,,4133,,296,,116.0,,89602.0,,13527.0,,2010,,59,,1886.0,,310.0,
25005600202,42.0205643,-71.0713808,4967,,466.0,,4967,,384,,255.0,,102514.0,,8432.0,,3011,,40,,1907.0,,368.0,
25005600203,42.0409008,-71.1364,6318,,594.0,,6318,,269,,294.0,,160809.0,,52924.0,,3367,,120,,1870.0,,1650.0,
25005600204,42.0090839,-71.1350836,4259,,445.0,,4167,,137,,75.0,,148988.0,,19912.0,,2256,,32,,2126.0,,354.0,
25005610100,42.034967,-71.2225718,5501,,868.0,,5501,,171,,117.0,,96188.0,,11723.0,,2992,,80,,1623.0,,220.0,
25005610202,42.0043385,-71.2487197,5647,,936.0,,5638,,218,,129.0,,172273.0,,7989.0,,3188,,210,,2142.0,,404.0,
25005610203,42.0141287,-71.1922446,6618,,714.0,,6594,,94,,62.0,,177587.0,,31868.0,,3826,,221,,1230.0,,642.0,
25005610204,42.0418655,-71.1857677,6089,,643.0,,6080,,665,,393.0,,111406.0,,32925.0,,3186,,195,,1753.0,,137.0,
25005611101,41.9873849,-71.1471841,5336,,528.0,,5320,,222,,123.0,,120250.0,,31707.0,,2598,,85,,2715.0,,229.0,
25005611102,41.9560057,-71.1786674,5052,,433.0,,3418,,257,,99.0,,121667.0,,18804.0,,2432,,25,,1154.0,,449.0,
25005611201,41.93274,-71.2037397,3143,,472.0,,3120,,150,,74.0,,141144.0,,26134.0,,1662,,6,,1787.0,,375.0,
25005611202,41.9776172,-71.2223917,5624,,471.0,,5543,,211,,182.0,,126556.0,,22932.0,,3263,,107,,1758.0,,447.0,
25005612100,41.9516559,-71.0565147,4767,,458.0,,4726,,348,,215.0,,101078.0,,21290.0,,2390,,71,,1372.0,,593.0,
25005612201,41.9404657,-71.0421156,4249,,473.0,,4249,,628,,417.0,,105982.0,,36662.0,,2092,,208,,1738.0,,73.0,
25005612202,41.9114347,-71.0246769,6257,,487.0,,6111,,394,,237.0,,127744.0,,14835.0,,3383,,100,,1642.0,,191.0,
25005613100,41.9533015,-71.123153,7076,,1111.0,,7076,,689,,261.0,,82851.0,,10273.0,,3654,,45,,1324.0,,260.0,
25005613300,41.9146686,-71.1606183,7185,,643.0,,7123,,269,,174.0,,122969.0,,17884.0,,4036,,57,,1619.0,,381.0,
25005613400,41.8878646,-71.1455815,3780,,481.0,,3780,,345,,263.0,,101201.0,,14747.0,,2104,,0,,1068.0,,119.0,
25005613600,41.9106665,-71.0956318,3972,,522.0,,3931,,842,,325.0,,65037.0,,13212.0,,1895,,10,,1113.0,,144.0,
25005613700,41.9085896,-71.0812345,4659,,651.0,,4482,,450,,204.0,,66938.0,,19267.0,,2588,,25,,1496.0,,145.0,
25005613800,41.9023771,-71.0958741,5194,,886.0,,5097,,1208,,330.0,,47143.0,,23102.0,,1904,,0,,989.0,,151.0,
25005613901,41.8975952,-71.1111528,3198,,518.0,,3165,,586,,286.0,,62167.0,,18713.0,,1555,,19,,1172.0,,171.0,
25005613902,41.8727942,-71.1136635,5280,,1057.0,,5157,,735,,542.0,,67390.0,,19642.0,,2524,,15,,1217.0,,568.0,
25005614000,41.8930097,-71.0937386,5034,,654.0,,5031,,1448,,629.0,,53067.0,,10609.0,,2037,,7,,1375.0,,111.0,
25005614101,41.8859557,-71.068305,7075,,795.0,,7049,,781,,540.0,,76017.0,,34304.0,,3975,,19,,1684.0,,155.0,
25005614102,41.8624856,-71.0116902,7266,,865.0,,7266,,772,,187.0,,108104.0,,8820.0,,3658,,8,,1683.0,,189.0,
25005615100,41.829273,-71.152087,8122,,25.0,,8096,,225,,137.0,,137616.0,,20043.0,,4431,,0,,1416.0,,246.0,
25005616100,41.8380611,-71.0776152,6789,,16.0,,6773,,180,,167.0,,123877.0,,30572.0,,3722,,0,,,-666666666,,-222222222
25005617101,41.7803958,-71.04939,4948,,306.0,,4885,,268,,127.0,,148151.0,,13752.0,,2520,,10,,1674.0,,663.0,
25005617102,41.750928,-70.9645589,4274,,307.0,,4247,,45,,39.0,,136985.0,,23835.0,,2313,,0,,2122.0,,802.0,
25005630101,41.9898092,-71.3337865,3389,,451.0,,3389,,213,,128.0,,95256.0,,10887.0,,2235,,5,,1553.0,,120.0,
25005630102,41.9777874,-71.3215358,4998,,719.0,,4900,,502,,208.0,,90838.0,,14294.0,,2999,,43,,1249.0,,285.0,
25005630201,41.9958417,-71.2876043,3208,,425.0,,3208,,403,,336.0,,143778.0,,19876.0,,1641,,48,,,-666666666,,-222222222
25005630202,41.9880079,-71.3072505,5380,,621.0,,5334,,207,,232.0,,146908.0,,44157.0,,2712,,121,,1122.0,,176.0,
25005630301,41.9568171,-71.3632515,5452,,753.0,,5452,,110,,87.0,,165958.0,,32784.0,,2964,,39,,,-666666666,,-222222222
25005630302,41.9766395,-71.3424191,3147,,386.0,,3147,,60,,64.0,,103986.0,,24958.0,,1763,,56,,1401.0,,166.0,
25005630400,41.9578635,-71.3313444,5268,,625.0,,5268,,174,,156.0,,108244.0,,25305.0,,2661,,106,,1412.0,,113.0,
25005631101,41.9076594,-71.3559648,3195,,523.0,,3183,,394,,366.0,,66932.0,,27921.0,,1652,,78,,1191.0,,252.0,
25005631102,41.9141857,-71.3672838,4806,,945.0,,4754,,266,,171.0,,90781.0,,9174.0,,2398,,16,,1453.0,,431.0,
25005631200,41.9218593,-71.3340568,8025,,1307.0,,8021,,413,,241.0,,123081.0,,21108.0,,3770,,90,,1502.0,,1145.0,
25005631300,41.9704688,-71.2873273,5329,,706.0,,5329,,266,,146.0,,99219.0,,14409.0,,3267,,63,,1175.0,,592.0,
25005631400,41.9439753,-71.2830483,3642,,664.0,,3642,,1006,,535.0,,55227.0,,25303.0,,1785,,128,,1579.0,,209.0,
25005631500,41.9304456,-71.3000211,2889,,509.0,,2889,,457,,455.0,,82768.0,,17385.0,,1716,,5,,1705.0,,89.0,
25005631600,41.9363126,-71.2806485,3698,,657.0,,3604,,480,,200.0,,65125.0,,31593.0,,1800,,77,,1346.0,,150.0,
25005631700,41.9359845,-71.2431103,7023,,836.0,,6800,,117,,113.0,,111420.0,,29113.0,,3644,,96,,1513.0,,673.0,
25005631800,41.915556,-71.2904816,7892,,890.0,,7737,,834,,554.0,,96554.0,,21662.0,,4046,,77,,1397.0,,214.0,
25005632100,41.8678153,-71.3200774,6904,,636.0,,6904,,238,,134.0,,115049.0,,7892.0,,3800,,165,,1718.0,,244.0,
25005632200,41.809874,-71.3100048,8669,,636.0,,8669,,448,,234.0,,119617.0,,11292.0,,4326,,18,,1867.0,,173.0,
25005633100,41.8708043,-71.2518791,5956,,556.0,,5926,,411,,281.0,,108417.0,,19131.0,,3474,,41,,1355.0,,819.0,
25005633200,41.8154153,-71.240948,6853,,556.0,,6831,,241,,205.0,,142439.0,,10017.0,,3802,,55,,1250.0,,198.0,
25005640100,41.6693128,-71.1666686,5682,,877.0,,5682,,851,,522.0,,80197.0,,22524.0,,2408,,0,,1051.0,,874.0,
25005640201,41.6871981,-71.166102,2844,,618.0,,2844,,1236,,344.0,,48453.0,,30405.0,,1085,,0,,1462.0,,251.0,
25005640202,41.6842773,-71.1710796,3918,,570.0,,3799,,1275,,348.0,,35413.0,,3577.0,,1265,,0,,914.0,,99.0,
25005640300,41.6795615,-71.1902108,4329,,736.0,,4329,,626,,198.0,,75671.0,,28516.0,,1783,,50,,959.0,,504.0,
25005640400,41.6869772,-71.1830032,3093,,699.0,,3093,,503,,312.0,,60538.0,,19834.0,,1216,,10,,1094.0,,98.0,
25005640500,41.6938306,-71.1735838,5211,,775.0,,5132,,994,,452.0,,48664.0,,11927.0,,2497,,31,,1113.0,,139.0,
25005640600,41.6879151,-71.1536822,4515,,760.0,,4515,,1173,,509.0,,43783.0,,18461.0,,2129,,34,,987.0,,88.0,
25005640700,41.6787936,-71.1511534,2766,,435.0,,2757,,546,,263.0,,74236.0,,15688.0,,1376,,15,,1206.0,,170.0,
25005640800,41.6739021,-71.1408008,3745,,579.0,,3745,,315,,147.0,,68087.0,,10157.0,,1952,,31,,1068.0,,156.0,
