GEO_ID|B08301_E001|B08301_M001|B08301_E002|B08301_M002|B08301_E003|B08301_M003|B08301_E004|B08301_M004|B08301_E005|B08301_M005|B08301_E006|B08301_M006|B08301_E007|B08301_M007|B08301_E008|B08301_M008|B08301_E009|B08301_M009|B08301_E010|B08301_M010|B08301_E011|B08301_M011|B08301_E012|B08301_M012|B08301_E013|B08301_M013|B08301_E014|B08301_M014|B08301_E015|B08301_M015|B08301_E016|B08301_M016|B08301_E017|B08301_M017|B08301_E018|B08301_M018|B08301_E019|B08301_M019|B08301_E020|B08301_M020|B08301_E021|B08301_M021
1400000US25015821300|2093|285|1630|269|1501|264|129|70|104|62|25|35|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|20|23|64|43|18|20|361|107
1400000US25015821400|2699|223|2043|274|1961|267|82|71|45|47|37|45|0|19|0|19|0|19|99|100|99|100|0|19|0|19|0|19|0|19|0|19|0|19|26|39|39|52|46|48|446|161
1400000US25015821500|1920|159|1540|171|1436|168|104|54|53|47|35|32|16|24|0|14|0|14|38|36|38|36|0|14|0|14|0|14|0|14|0|14|0|14|22|36|30|38|13|15|277|113
1400000US25015821601|1724|262|1262|289|1184|285|78|75|77|75|1|2|0|14|0|14|0|14|20|22|20|22|0|14|0|14|0|14|0|14|0|14|0|14|11|16|56|44|0|14|375|122
1400000US25015821602|1933|323|1416|267|1225|261|191|89|139|73|52|64|0|14|0|14|0|14|42|48|42|48|0|14|0|14|0|14|0|14|0|14|0|14|28|27|22|21|1|4|424|197
1400000US25015821700|1480|193|1099|177|1043|168|56|34|56|34|0|14|0|14|0|14|0|14|35|54|8|22|27|54|0|14|0|14|0|14|0|14|0|14|12|20|59|63|7|11|268|93
1400000US25015821901|1627|225|1101|187|1077|190|24|23|24|23|0|14|0|14|0|14|0|14|24|29|18|28|6|10|0|14|0|14|0|14|0|14|0|14|26|39|155|67|0|14|321|98
1400000US25015821903|2223|329|1300|281|1076|234|224|194|129|119|95|124|0|14|0|14|0|14|136|98|136|98|0|14|0|14|0|14|0|14|0|14|0|14|13|16|326|166|24|39|424|174
1400000US25015821904|1951|332|1089|332|973|298|116|95|59|50|29|44|28|44|0|14|0|14|131|76|131|76|0|14|0|14|0|14|0|14|0|14|0|14|36|30|94|68|0|14|601|161
1400000US25015822000|789|152|136|66|126|64|10|14|10|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|17|24|431|117|0|14|205|87
1400000US25015822200|2554|380|1865|370|1825|370|40|43|30|39|10|17|0|19|0|19|0|19|30|44|30|44|0|19|0|19|0|19|0|19|0|19|0|19|42|43|99|104|12|21|506|208
1400000US25015822300|2703|351|2004|328|1935|326|69|50|47|44|19|31|3|7|0|19|0|19|34|38|34|38|0|19|0|19|0|19|0|19|0|19|0|19|76|80|96|78|19|24|474|173
1400000US25015822401|2574|411|2290|337|2170|350|120|85|116|85|4|7|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|284|192
1400000US25015822402|2873|512|2105|480|2086|480|19|29|19|29|0|14|0|14|0|14|0|14|32|51|32|51|0|14|0|14|0|14|0|14|0|14|0|14|38|58|194|116|0|14|504|176
1400000US25015822500|3421|347|3023|339|2825|356|198|129|178|128|0|19|4|13|16|26|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|11|18|387|166
1400000US25015822601|1271|257|1132|255|1126|255|6|8|4|7|0|14|2|5|0|14|0|14|7|10|7|10|0|14|0|14|0|14|0|14|0|14|0|14|0|14|17|17|5|8|110|67
1400000US25015822603|725|94|611|88|601|87|10|10|7|7|0|14|3|5|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|7|7|7|7|2|3|98|29
1400000US25015822607|2785|221|2090|194|1948|191|142|55|141|55|0|14|1|4|0|14|0|14|13|13|13|13|0|14|0|14|0|14|0|14|0|14|0|14|5|8|61|37|36|27|580|117
1400000US25015822700|1542|138|1122|108|1026|106|96|37|73|33|10|11|11|9|2|3|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|3|4|0|14|35|22|21|20|361|90
1400000US25017300100|1860|121|1503|142|1330|144|173|86|118|72|47|43|8|12|0|14|0|14|5|9|0|14|0|14|5|9|0|14|0|14|0|14|0|14|0|14|46|34|0|14|306|96
1400000US25017301101|1966|239|1634|240|1529|241|105|50|89|46|16|19|0|14|0|14|0|14|69|44|16|25|5|10|48|50|0|14|0|14|0|14|0|14|0|14|39|36|21|33|203|88
1400000US25017301102|2609|223|2253|258|2106|240|147|73|125|68|22|19|0|14|0|14|0|14|16|18|0|14|0|14|16|18|0|14|0|14|0|14|0|14|0|14|0|14|30|43|310|130
1400000US25017310101|1850|245|1171|257|1100|241|71|66|53|54|0|14|18|30|0|14|0|14|47|47|23|36|0|14|24|30|0|14|0|14|0|14|0|14|102|103|150|75|10|17|370|134
1400000US25017310102|1471|275|962|223|847|207|115|76|72|43|43|49|0|14|0|14|0|14|66|79|66|79|0|14|0|14|0|14|0|14|26|40|0|14|12|21|35|43|81|87|289|137
