subnum	code	topicorder	typeorder	p1f	p1r	p1d	p2f	p2r	p2d	p3f	p3r	p3d	Tf	Tr	Td	Vf	Vr	Vd	T_O	T_P	V_O	V_P	NDcorrect	NDmark	TWRswe	TWRpde	WJwid	WJwatk	pseudopsg	pseudowords	p_total_f	p_avg_f	p_intra_r	p_pre_r	p_post_r	p_pre2_r	p_pre3_r	p_post2_r	p_postpre_r	p_post2pre_r	p_interline_r	p_sweep_r	p_total_r	p_total_d	p_avg_d	p_rest_words	p_rest_total_f	p_rest_avg_f	p_rest_r	p_rest_total_d	p_rest_avg_d	meaningpsg	realword	m_total_f	m_avg_f	m_intra_r	m_pre_r	m_post_r	m_pre2_r	m_pre3_r	m_post2_r	m_postpre_r	m_post2pre_r	m_interline_r	m_sweep_r	m_total_r	m_total_d	m_avg_d	m_rest_word	m_rest_total_f	m_rest_avg_f	m_rest_r	m_rest_total_d	m_rest_avg_d	filter_$	group
"103"	"a"	1	1	23	10	255.48	77	28	223.74	126	44	287.56	77	28	223.74	126	44	287.56	1	1	2	2	27	364	104	58	104	43	2																																															2
"104"	"d"	1	2	35	10	465.6	185	48	410.75	141	35	339.18	141	35	339.18	185	48	410.75	2	2	1	1	6	69	47	25	81	29	1																																															2
"105"	"c"	2	1	35	15	213.49	96	41	216.04	186	77	242.04	96	41	216.04	186	77	242.04	1	2	2	1	27	123	62	39	100	40	1																																															2
"106"	"a"	1	1	22	6	294	88	28	250	172	53	287.6	88	28	250	172	53	287.6	1	1	2	2	32	154	76	35	89	28	2																																															2
"107"	"d"	1	2	42	24	236.19	371	180	277.56	103	51	244.78	103	51	244.78	371	180	277.56	2	2	1	1	29	223	66	22	92	31	1																																															2
"108"	"a"	1	1	24	8	277.67	134	39	265.28	85	19	220.75	85	19	220.75	134	39	265.28	2	1	1	2	35	195	75	38	85	24	2																																															2
"109"	"a"	1	1	32	14	177.12	94	19	191.32	169	46	189.59	94	19	191.32	169	46	189.59	1	1	2	2	33	106	96	60	106	44	2																																															2
"110"	"b"	2	2	45	15	166.93	160	41	291.68	108	36	214.33	108	36	214.33	160	41	291.68	2	1	1	2	34	211	64	20	89	31	2																																															2
"111"	"c"	2	1	35	12	254.4	119	42	211.26	336	141	253.25	119	42	211.26	336	141	253.25	2	1	1	2	14	84	69	19	89	33	2																																															2
"112"	"b"	2	2	34	16	219.65	178	71	227.3	122	54	174.16	122	54	174.16	178	71	227.3	2	1	1	2	31	164	61	50	103	44	2																																															2
"113"	"b"	2	2	69	31	66.78	213	83	113.63	138	52	108.93	138	52	108.93	213	83	113.63	2	1	1	2	25	195	96	50	95	40	2																																															2
"114"	"c"	2	1	62	23	221.23	131	37	183.73	263	98	200.67	131	37	183.73	263	98	200.67	1	2	2	1	35	123	43	16	106	25	1																																															2
"115"	"a"	1	1	41	18	238.54	121	46	216.07	213	89	265.22	121	46	216.07	213	89	265.22	1	1	2	2	18	137	77	35	97	37	2																																															2
"116"	"c"	2	1	30	11	341.07	118	35	310.85	84	25	239.57	84	25	239.57	118	35	310.85	2	1	1	2	28	232	98	51	85	38	2																																															2
"117"	"d"	1	2	49	19	365.96	284	98	465.38	105	26	349.1	105	26	349.1	284	98	465.38	2	1	1	2	14	69	45	23	88	31	2																																															2
"118"	"b"	2	2	34	14	248	144	39	351.25	96	26	250.12	96	26	250.12	144	39	351.25	2	1	1	2	27	106	75	35	90	35	2																																															2
"119"	"c"	2	1	42	17	199.52	89	27	213.48	126	42	287.3	89	27	213.48	126	42	287.3	2	1	1	2	17	164	92	47	98	40	2																																															2
"120"	"d"	1	2	40	15	228.7	229	85	239.56	123	41	198.31	123	41	198.31	229	85	239.56	2	2	1	1	5	137	60	20	74	21	1																																															2
