person_id,cohort,weight,age,age_band,education_band,worker_class,puma,sex,race,hispanic_origin,employed
2019-2019GQ0018490-01,2019,97,19,18-34,high_school_some_college,1,00103,2,1,07,1
2019-2019GQ0018550-01,2019,90,19,18-34,high_school_some_college,1,00400,2,1,01,0
2019-2019GQ0018727-01,2019,38,20,18-34,high_school_some_college,missing,00103,1,2,02,0
2019-2019GQ0018854-01,2019,65,19,18-34,high_school_some_college,4,00103,2,1,01,1
2019-2019GQ0019023-01,2019,62,18,18-34,high_school_some_college,1,00104,2,1,01,1
2019-2019GQ0019603-01,2019,62,18,18-34,high_school_some_college,1,00400,2,1,01,1
2019-2019GQ0020531-01,2019,53,19,18-34,high_school_some_college,1,00101,1,1,01,1
2019-2019GQ0021251-01,2019,80,20,18-34,high_school_some_college,4,00103,1,1,01,0
2019-2019GQ0021461-01,2019,43,21,18-34,high_school_some_college,1,00103,1,1,01,0
2019-2019GQ0021634-01,2019,37,36,35-49,associate_bachelor,1,00104,1,8,01,0
2019-2019GQ0021667-01,2019,111,22,18-34,associate_bachelor,1,00300,1,1,01,1
2019-2019GQ0021680-01,2019,97,19,18-34,high_school_some_college,1,00103,2,8,24,0
2019-2019GQ0021769-01,2019,56,19,18-34,high_school_some_college,1,00400,2,1,01,0
2019-2019GQ0022210-01,2019,218,18,18-34,high_school_some_college,missing,00300,1,1,01,0
2019-2019GQ0022328-01,2019,88,20,18-34,high_school_some_college,1,00103,1,1,01,0
2019-2019GQ0022676-01,2019,84,20,18-34,high_school_some_college,1,00103,2,1,01,0
2019-2019GQ0022909-01,2019,131,26,18-34,graduate,5,00300,2,1,01,1
2019-2019GQ0022916-01,2019,83,20,18-34,high_school_some_college,1,00103,2,6,01,0
2019-2019GQ0023021-01,2019,52,18,18-34,high_school_some_college,1,00400,2,1,01,0
2019-2019GQ0023464-01,2019,21,24,18-34,below_high_school,missing,00103,1,1,01,0
2019-2019GQ0023609-01,2019,20,61,50-64,high_school_some_college,6,00101,1,2,01,0
2019-2019GQ0023639-01,2019,53,19,18-34,high_school_some_college,4,00400,1,1,01,1
2019-2019GQ0023836-01,2019,8,29,18-34,below_high_school,1,00104,2,1,01,0
2019-2019GQ0024160-01,2019,10,58,50-64,high_school_some_college,missing,00102,1,2,01,0
2019-2019GQ0024555-01,2019,76,19,18-34,high_school_some_college,1,00103,1,1,01,0
2019-2019GQ0024578-01,2019,78,19,18-34,high_school_some_college,1,00400,2,1,01,0
2019-2019GQ0025064-01,2019,6,24,18-34,below_high_school,missing,00103,1,1,01,0
2019-2019GQ0025139-01,2019,5,19,18-34,high_school_some_college,1,00103,2,6,01,0
2019-2019GQ0025896-01,2019,145,19,18-34,high_school_some_college,1,00103,2,2,01,0
2019-2019GQ0025903-01,2019,144,19,18-34,below_high_school,missing,00104,1,8,03,0
2019-2019GQ0026346-01,2019,35,23,18-34,high_school_some_college,1,00104,2,8,02,0
2019-2019GQ0026528-01,2019,67,19,18-34,high_school_some_college,1,00400,1,1,01,0
2019-2019GQ0026707-01,2019,92,19,18-34,high_school_some_college,1,00101,2,9,02,1
2019-2019GQ0026908-01,2019,66,20,18-34,high_school_some_college,1,00103,2,1,01,0
2019-2019GQ0027128-01,2019,73,20,18-34,high_school_some_college,1,00103,2,1,01,1
2019-2019GQ0027708-01,2019,8,18,18-34,high_school_some_college,1,00300,1,1,01,0
2019-2019GQ0027819-01,2019,4,55,50-64,high_school_some_college,missing,00300,1,1,01,0
2019-2019GQ0027850-01,2019,6,55,50-64,high_school_some_college,missing,00104,1,1,01,0
2019-2019GQ0028055-01,2019,53,20,18-34,high_school_some_college,1,00400,2,1,01,0
2019-2019GQ0028272-01,2019,12,40,35-49,below_high_school,missing,00102,1,1,03,0
2019-2019GQ0028285-01,2019,93,18,18-34,high_school_some_college,1,00300,2,1,01,0
2019-2019GQ0028709-01,2019,74,20,18-34,high_school_some_college,1,00103,2,1,01,1
2019-2019GQ0028717-01,2019,7,18,18-34,high_school_some_college,2,00300,2,8,11,1
2019-2019GQ0028798-01,2019,69,21,18-34,associate_bachelor,1,00103,2,1,01,1
2019-2019GQ0028806-01,2019,54,19,18-34,high_school_some_college,1,00400,1,1,01,0
2019-2019GQ0029038-01,2019,34,20,18-34,high_school_some_college,1,00103,2,6,01,1
2019-2019GQ0029375-01,2019,90,18,18-34,high_school_some_college,1,00300,1,1,01,0
2019-2019GQ0029517-01,2019,78,19,18-34,high_school_some_college,4,00103,2,1,01,1
2019-2019GQ0029925-01,2019,58,57,50-64,below_high_school,missing,00103,1,1,03,0
2019-2019GQ0030104-01,2019,81,20,18-34,high_school_some_college,6,00103,2,1,01,0
2019-2019GQ0030231-01,2019,8,21,18-34,high_school_some_college,2,00103,2,6,01,1
2019-2019GQ0030397-01,2019,52,20,18-34,high_school_some_college,1,00400,1,1,02,0
2019-2019GQ0030456-01,2019,147,40,35-49,below_high_school,missing,00101,1,1,03,0
2019-2019GQ0030908-01,2019,14,28,18-34,below_high_school,missing,00300,1,1,24,0
2019-2019GQ0030956-01,2019,81,57,50-64,high_school_some_college,missing,00101,2,1,01,0
2019-2019GQ0031275-01,2019,80,19,18-34,high_school_some_college,1,00400,2,1,01,0
2019-2019GQ0031666-01,2019,18,48,35-49,high_school_some_college,missing,00103,2,1,01,0
2019-2019GQ0032484-01,2019,19,24,18-34,below_high_school,missing,00101,1,1,01,0
2019-2019GQ0033003-01,2019,8,19,18-34,high_school_some_college,1,00300,2,1,01,0
2019-2019GQ0033033-01,2019,15,22,18-34,high_school_some_college,1,00103,2,2,03,0
2019-2019GQ0033130-01,2019,66,18,18-34,high_school_some_college,1,00101,1,1,01,1
2019-2019GQ0034449-01,2019,43,18,18-34,high_school_some_college,1,00103,1,1,01,0
2019-2019GQ0034752-01,2019,6,22,18-34,high_school_some_college,1,00103,2,6,01,1
2019-2019GQ0034793-01,2019,58,29,18-34,high_school_some_college,3,00103,2,6,01,0
2019-2019GQ0034796-01,2019,12,24,18-34,below_high_school,missing,00103,1,1,01,0
2019-2019GQ0035041-01,2019,32,48,35-49,high_school_some_college,missing,00101,2,1,01,0
2019-2019GQ0035225-01,2019,8,55,50-64,below_high_school,3,00201,1,1,01,1
2019-2019GQ0035720-01,2019,69,19,18-34,high_school_some_college,1,00400,2,1,01,0
2019-2019GQ0035745-01,2019,25,20,18-34,high_school_some_college,2,00103,2,1,01,1
2019-2019GQ0036059-01,2019,88,21,18-34,high_school_some_college,1,00101,2,1,02,0
2019-2019GQ0036112-01,2019,23,34,18-34,below_high_school,missing,00102,2,1,01,0
2019-2019GQ0036371-01,2019,78,21,18-34,high_school_some_college,1,00400,1,1,01,0
2019-2019GQ0036391-01,2019,16,19,18-34,high_school_some_college,missing,00101,1,1,01,0
2019-2019GQ0036605-01,2019,92,19,18-34,high_school_some_college,1,00101,2,8,24,0
2019-2019GQ0037036-01,2019,121,20,18-34,high_school_some_college,5,00400,2,1,01,1
2019-2019GQ0037054-01,2019,4,28,18-34,below_high_school,missing,00201,1,1,24,0
2019-2019GQ0037222-01,2019,100,18,18-34,high_school_some_college,missing,00300,2,1,01,0
2019-2019GQ0037754-01,2019,72,19,18-34,high_school_some_college,1,00300,1,1,01,0
2019-2019GQ0038482-01,2019,114,26,18-34,high_school_some_college,1,00104,1,8,05,0
2019-2019GQ0039006-01,2019,45,20,18-34,high_school_some_college,1,00103,2,1,01,0
2019-2019GQ0039432-01,2019,90,18,18-34,high_school_some_college,1,00400,2,1,01,1
2019-2019GQ0039492-01,2019,59,56,50-64,associate_bachelor,missing,00101,1,1,01,0
2019-2019GQ0040178-01,2019,88,18,18-34,high_school_some_college,1,00400,2,1,01,1
2019-2019GQ0040825-01,2019,113,42,35-49,high_school_some_college,1,00104,1,2,01,0
2019-2019GQ0040831-01,2019,13,55,50-64,below_high_school,3,00400,1,1,01,1
2019-2019GQ0041557-01,2019,26,57,50-64,below_high_school,missing,00101,1,1,03,0
2019-2019GQ0041565-01,2019,77,18,18-34,high_school_some_college,1,00103,1,1,01,1
2019-2019GQ0042089-01,2019,53,18,18-34,high_school_some_college,4,00400,1,1,01,1
2019-2019GQ0042444-01,2019,9,20,18-34,high_school_some_college,4,00400,2,1,01,1
2019-2019GQ0042569-01,2019,7,20,18-34,high_school_some_college,1,00300,2,1,01,1
2019-2019GQ0043604-01,2019,79,20,18-34,high_school_some_college,3,00103,1,1,01,1
2019-2019GQ0043729-01,2019,15,20,18-34,high_school_some_college,2,00101,2,1,01,1
2019-2019GQ0043748-01,2019,23,18,18-34,high_school_some_college,missing,00103,1,1,01,0
2019-2019GQ0043951-01,2019,64,20,18-34,high_school_some_college,1,00103,1,1,01,0
2019-2019GQ0044229-01,2019,83,19,18-34,high_school_some_college,1,00300,2,1,01,1
2019-2019GQ0044421-01,2019,79,19,18-34,high_school_some_college,missing,00101,2,1,01,0
2019-2019GQ0044551-01,2019,144,23,18-34,high_school_some_college,2,00400,1,2,01,0
2019-2019GQ0045461-01,2019,46,19,18-34,high_school_some_college,1,00103,2,1,23,1
2019-2019GQ0045522-01,2019,71,20,18-34,high_school_some_college,1,00103,2,1,01,0
2019-2019GQ0045624-01,2019,9,18,18-34,below_high_school,missing,00102,2,2,01,0
2019-2019GQ0045630-01,2019,85,19,18-34,high_school_some_college,1,00400,2,1,01,0
2019-2019GQ0046014-01,2019,66,29,18-34,high_school_some_college,3,00103,2,6,01,0
2019-2019GQ0046038-01,2019,89,18,18-34,high_school_some_college,1,00103,1,1,01,0
2019-2019GQ0046073-01,2019,47,19,18-34,high_school_some_college,1,00103,2,9,01,0
2019-2019GQ0046203-01,2019,35,18,18-34,high_school_some_college,1,00103,1,1,01,1
2019-2019GQ0046791-01,2019,19,62,50-64,high_school_some_college,missing,00102,1,1,01,0
2019-2019GQ0047449-01,2019,24,24,18-34,below_high_school,missing,00300,1,1,01,0
2019-2019GQ0048062-01,2019,38,19,18-34,high_school_some_college,1,00103,1,1,01,1
2019-2019GQ0048701-01,2019,55,20,18-34,high_school_some_college,1,00400,1,8,03,0
2019-2019GQ0049017-01,2019,43,19,18-34,high_school_some_college,1,00103,1,1,01,1
2019-2019GQ0049176-01,2019,10,18,18-34,high_school_some_college,1,00103,1,1,01,1
2019-2019GQ0049271-01,2019,11,22,18-34,high_school_some_college,2,00101,1,1,01,1
2019-2019GQ0049327-01,2019,71,19,18-34,high_school_some_college,1,00103,1,1,01,1
2019-2019GQ0049734-01,2019,87,19,18-34,high_school_some_college,1,00300,2,1,01,0
2019-2019GQ0049991-01,2019,4,19,18-34,high_school_some_college,1,00103,2,2,03,0
2019-2019GQ0050261-01,2019,95,19,18-34,high_school_some_college,1,00300,2,1,01,1
2019-2019GQ0050440-01,2019,34,18,18-34,high_school_some_college,9,00103,2,9,01,0
2019-2019GQ0050564-01,2019,31,28,18-34,below_high_school,missing,00201,1,1,24,0
2019-2019GQ0050581-01,2019,47,20,18-34,high_school_some_college,1,00400,2,1,01,0
2019-2019GQ0050918-01,2019,39,18,18-34,high_school_some_college,1,00103,2,1,01,1
2019-2019GQ0050932-01,2019,84,19,18-34,high_school_some_college,1,00103,1,1,01,0
2019-2019GQ0050990-01,2019,57,18,18-34,high_school_some_college,3,00400,2,1,01,0
2019-2019GQ0051148-01,2019,81,18,18-34,high_school_some_college,2,00400,1,1,01,0
2019-2019GQ0051247-01,2019,115,41,35-49,high_school_some_college,missing,00104,1,1,01,0
2019-2019GQ0051365-01,2019,35,18,18-34,high_school_some_college,missing,00103,2,6,01,0
2019-2019GQ0051578-01,2019,80,20,18-34,high_school_some_college,1,00103,1,1,01,0
2019-2019GQ0051581-01,2019,6,21,18-34,high_school_some_college,1,00103,2,1,02,0
2019-2019GQ0051995-01,2019,39,46,35-49,associate_bachelor,missing,00104,2,1,01,0
2019-2019GQ0053103-01,2019,11,44,35-49,high_school_some_college,missing,00201,1,1,01,0
2019-2019GQ0053109-01,2019,66,20,18-34,high_school_some_college,1,00400,1,1,11,0
2019-2019GQ0053191-01,2019,93,55,50-64,below_high_school,3,00400,1,1,01,1
2019-2019GQ0053890-01,2019,37,21,18-34,high_school_some_college,6,00103,1,1,01,1
2019-2019GQ0053945-01,2019,17,61,50-64,below_high_school,missing,00400,2,1,24,0
2019-2019GQ0054068-01,2019,74,20,18-34,high_school_some_college,1,00400,2,1,01,0
2019-2019GQ0054213-01,2019,97,28,18-34,associate_bachelor,5,00300,1,2,01,1
2019-2019GQ0054512-01,2019,18,42,35-49,high_school_some_college,1,00102,1,1,01,0
2019-2019GQ0054549-01,2019,3,23,18-34,high_school_some_college,1,00103,1,6,01,0
2019-2019GQ0054932-01,2019,43,19,18-34,high_school_some_college,1,00400,1,1,01,0
2019-2019GQ0055128-01,2019,71,40,35-49,below_high_school,missing,00101,1,1,03,0
2019-2019GQ0055140-01,2019,17,56,50-64,high_school_some_college,missing,00103,1,3,01,0
2019-2019GQ0055456-01,2019,58,20,18-34,high_school_some_college,1,00103,2,6,01,1
2019-2019GQ0055834-01,2019,23,40,35-49,below_high_school,missing,00102,1,1,03,0
2019-2019GQ0055869-01,2019,67,57,50-64,high_school_some_college,missing,00103,2,1,01,0
2019-2019GQ0055888-01,2019,80,20,18-34,high_school_some_college,1,00103,1,1,01,1
2019-2019GQ0056119-01,2019,95,44,35-49,high_school_some_college,missing,00104,1,1,01,0
2019-2019GQ0056952-01,2019,71,20,18-34,high_school_some_college,4,00400,2,1,01,1
2019-2019GQ0056976-01,2019,5,20,18-34,high_school_some_college,1,00103,2,2,01,1
2019-2019GQ0057000-01,2019,66,21,18-34,high_school_some_college,missing,00103,1,1,03,0
2019-2019GQ0057086-01,2019,74,19,18-34,high_school_some_college,1,00103,2,1,01,0
2019-2019GQ0057374-01,2019,44,20,18-34,high_school_some_college,6,00400,1,1,01,1
2019-2019GQ0057397-01,2019,78,20,18-34,high_school_some_college,1,00400,2,1,01,0
2019-2019GQ0057627-01,2019,63,56,50-64,high_school_some_college,missing,00300,1,3,01,0
2019-2019GQ0058057-01,2019,72,22,18-34,high_school_some_college,1,00103,2,6,01,1
2019-2019GQ0058301-01,2019,10,19,18-34,high_school_some_college,1,00300,1,1,01,0
2019-2019GQ0058343-01,2019,73,18,18-34,high_school_some_college,1,00400,2,1,01,1
2019-2019GQ0058417-01,2019,90,20,18-34,high_school_some_college,1,00103,1,1,01,1
2019-2019GQ0058427-01,2019,77,52,50-64,high_school_some_college,missing,00104,2,1,01,0
2019-2019GQ0058867-01,2019,12,58,50-64,high_school_some_college,missing,00201,1,2,01,0
2019-2019GQ0059156-01,2019,53,19,18-34,high_school_some_college,1,00103,1,1,01,0
2019-2019GQ0059192-01,2019,20,61,50-64,high_school_some_college,6,00300,1,2,01,0
2019-2019GQ0059221-01,2019,64,20,18-34,high_school_some_college,6,00400,1,1,01,1
2019-2019GQ0059823-01,2019,81,20,18-34,high_school_some_college,missing,00103,1,1,01,0
2019-2019GQ0060388-01,2019,83,18,18-34,high_school_some_college,missing,00103,2,6,01,0
2019-2019GQ0060843-01,2019,90,19,18-34,high_school_some_college,4,00101,2,1,01,1
2019-2019GQ0060931-01,2019,10,21,18-34,high_school_some_college,1,00300,1,1,01,0
2019-2019GQ0060977-01,2019,30,58,50-64,high_school_some_college,missing,00101,1,2,01,0
2019-2019GQ0061173-01,2019,56,19,18-34,high_school_some_college,1,00103,2,1,01,1
2019-2019GQ0061590-01,2019,28,21,18-34,high_school_some_college,1,00300,1,1,01,0
2019-2019GQ0061638-01,2019,34,19,18-34,high_school_some_college,missing,00103,1,2,01,0
2019-2019GQ0061841-01,2019,51,34,18-34,below_high_school,missing,00400,2,1,01,0
2019-2019GQ0062145-01,2019,10,20,18-34,high_school_some_college,1,00300,2,1,01,1
2019-2019GQ0062388-01,2019,113,21,18-34,high_school_some_college,2,00103,2,1,01,1
2019-2019GQ0062574-01,2019,79,20,18-34,high_school_some_college,1,00103,2,1,01,1
2019-2019GQ0062769-01,2019,43,36,35-49,associate_bachelor,1,00104,1,2,24,0
2019-2019GQ0063692-01,2019,4,21,18-34,high_school_some_college,1,00101,2,1,01,1
2019-2019GQ0063931-01,2019,4,20,18-34,high_school_some_college,2,00103,1,6,01,1
2019-2019GQ0064435-01,2019,11,21,18-34,high_school_some_college,1,00103,2,1,02,1
2019-2019GQ0064510-01,2019,6,28,18-34,below_high_school,missing,00300,1,1,24,0
2019-2019GQ0064548-01,2019,22,50,50-64,below_high_school,missing,00102,1,1,01,0
2019-2019GQ0064785-01,2019,14,46,35-49,high_school_some_college,missing,00104,1,1,01,0
2019-2019GQ0064880-01,2019,27,38,35-49,below_high_school,1,00104,2,1,01,0
2019-2019GQ0065583-01,2019,32,19,18-34,high_school_some_college,1,00103,2,1,06,0
2019-2019GQ0065872-01,2019,25,61,50-64,below_high_school,missing,00101,2,1,24,0
2019-2019GQ0066014-01,2019,80,18,18-34,high_school_some_college,1,00103,1,1,01,1
2019-2019GQ0066024-01,2019,60,18,18-34,high_school_some_college,1,00104,2,6,01,1
2019-2019GQ0066038-01,2019,66,18,18-34,high_school_some_college,missing,00103,1,9,01,0
2019-2019GQ0066405-01,2019,99,18,18-34,high_school_some_college,1,00103,2,1,01,0
2019-2019GQ0066457-01,2019,44,57,50-64,high_school_some_college,missing,00103,2,1,01,0
2019-2019GQ0066726-01,2019,38,19,18-34,high_school_some_college,2,00103,1,1,01,0
2019-2019GQ0066761-01,2019,30,19,18-34,high_school_some_college,1,00103,1,2,01,0
2019-2019GQ0066818-01,2019,61,21,18-34,associate_bachelor,1,00103,2,1,01,1
2019-2019GQ0067186-01,2019,15,19,18-34,high_school_some_college,7,00101,2,1,01,0
2019-2019GQ0067505-01,2019,35,19,18-34,high_school_some_college,missing,00300,2,1,24,0
2019-2019GQ0067510-01,2019,276,36,35-49,high_school_some_college,1,00102,1,8,03,0
2019-2019GQ0067751-01,2019,96,22,18-34,high_school_some_college,1,00103,1,1,01,1
2019-2019GQ0068302-01,2019,32,19,18-34,high_school_some_college,6,00103,1,6,01,0
2019-2019GQ0068392-01,2019,25,44,35-49,high_school_some_college,missing,00104,1,1,01,0
2019-2019GQ0068743-01,2019,48,23,18-34,associate_bachelor,5,00300,2,1,01,1
2019-2019GQ0068766-01,2019,27,18,18-34,high_school_some_college,missing,00300,2,1,01,0
2019-2019GQ0068824-01,2019,19,56,50-64,associate_bachelor,missing,00103,1,1,01,0
2019-2019GQ0068854-01,2019,97,36,35-49,associate_bachelor,1,00104,1,8,01,0
